# Constructed from biom file
#OTU ID	11_GT_1	11_GT_2	11_GT_4	11_GT_5	11_GT_6	17_BH_1	17_BH_2	17_BH_3	17_BH_4	17_BH_5	17_BH_6	18_SJ_1	18_SJ_2	18_SJ_3	18_SJ_4	18_SJ_5	2_ZM_1	2_ZM_2	2_ZM_3	2_ZM_4	2_ZM_5	2_ZM_6	30_KM_2	30_KM_3	30_KM_4	30_KM_5	30_KM_6	35_AJ_1	35_AJ_2	35_AJ_3	36_KJ_1	36_KJ_2	36_KJ_3	36_KJ_4	36_KJ_5	36_KJ_6	37_SJ_1	37_SJ_2	37_SJ_3	37_SJ_4	37_SJ_5	37_SJ_6	43_BR_1	43_BR_2	43_BR_3	58_NJ_1	58_NJ_2	58_NJ_3	58_NJ_4	58_NJ_5	58_NJ_6	8_LV_1	8_LV_2	8_LV_3	8_LV_4	8_LV_5	8_LV_6	K10_1	K11_1	K12_M78_1	K13_1	k14_1	K15_1	K16_Z75_1	K17_1	K18_Z93_1	K19_1	K2_1	K20_1	K21_1	K22_1	K23_1	K24_1	K25_1	K26_1	K27_1	K28_1	K3_M78_1	K30_M95_1	K31_1	K32_1	K33_M78_1	K34_Z96_1	K35_M99_1	K36_1	K37_Z82_1	K38_1	K39_1	K4_Z79_1	K40_1	K41_1	K42_Z92_1	K43_1	K5_Z92_1	K6_M84_1	K7_Z80_1	K8_Z79_1	K9_1
Unassigned;__;__;__;__;__;__	0.05952380952380952	0.07848822158943826	0.026900499684665017	0.10824924524709659	0.10100257690449348	0.09930721629151155	0.15551086250602308	0.06716254648873332	0.2878532825374324	0.05281678340426958	0.0943124837685039	0.10637079099422196	0.28521482614514765	0.2553958425475453	0.1995036119294564	0.3138170758201173	0.23739594051070995	0.16895078335179617	0.07690874538882886	0.19627175684913498	0.12906724511930587	0.12735121800801727	0.13700938380639727	0.19071207430340556	0.3185016215027758	0.3035145671517424	0.3243462610720966	0.30028569222453866	0.3481801156257634	0.142923680883625	0.06255274946439006	0.09273614074816008	0.08692656204241245	0.1120644370513045	0.11643241367343397	0.23741921813751457	0.23317535545023696	0.22961720109371117	0.25403788634097707	0.20579517069109077	0.19887510088781274	0.2866557346616751	0.17903175798378881	0.24247826086956523	0.20227789200302998	0.0036625564644121597	0.13601269623402248	0.06496270140074363	0.08743446642990022	0.10628574413078108	0.13175271029759528	0.09296248210659476	0.08051448793719798	0.10314584318050522	0.06142609112135544	0.09600920424494282	0.11745406824146981	0.29074560332193455	0.2932924156071898	0.021136961598722914	0.2244984699081945	0.14930007080995697	0.26510400899537256	0.02007637339786003	0.37288280581693756	0.22430748736433806	0.362848228830172	0.2751585411346093	0.48142459098378226	0.2925327861539834	0.2876190476190476	0.2674890019839558	0.26261715933669794	0.17063762730202037	0.46147872009940977	0.27142962616592425	0.39354576821595294	0.15470869599309967	0.013343389220862098	0.3871424080477837	0.4947816726728132	0.2251566696508505	0.22152268741287043	0.2470053696819496	0.28931501086727895	0.2784895482130816	0.29121584448927196	0.2838881999427645	0.015265296072879478	0.22103404297066614	0.22768317450398376	0.1356988082340195	0.31926121372031663	0.10671490818549642	0.07258925394377891	0.25561866373518993	0.06066675281044063	0.2895746455379483
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;__;__;__	0.0	0.0	0.00029107844564110026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000659265875547616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.410669840926307e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016565890830779425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.85112409275978e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;__	0.0	0.0	0.0021345752680347356	0.0	0.0	0.0010847858780602057	0.0023044853665179226	0.0	0.0	0.0	0.00031963561539844577	0.0	0.0	0.0	0.0	0.0	0.0	0.0018040829245133724	0.0022729813317434885	0.0	0.0	0.000790163428923836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003962169890954194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002421307506053269	0.0005569134618359581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000914616156251844	0.0	0.0	0.0	0.0	0.0006155361319709467	0.0	0.00021871582565224183	0.0	0.0	0.0	0.001067489028584984	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_bouchesdurhonensis	0.0	0.0014237639140564327	0.0018920098966671518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp.	0.0030071924603174605	0.0	0.0	0.0	0.0	0.0	0.000670395742987032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004206762370510596	0.0019352643443494534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015949954428701632	0.0	0.0	0.0023456416464891043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__uncultured_bacterium	0.005456349206349206	0.002743981361636034	0.0	0.0008703456904289173	0.0005234337252375584	0.0	0.004588020866067501	0.0009592245426854922	0.0	0.0	0.0013184969135185888	0.0	0.0	0.0009287925696594427	0.0006860648129464466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009140498304584992	0.0010718408178969933	0.0	0.0	0.0	0.0	0.030873644287710427	0.0	0.0	0.0	0.0003793848129341038	0.00028920122621319916	0.0	0.0	0.0005799983428618775	0.0	0.0	0.0	0.0	0.0	0.0	0.00048696028568336763	0.0	0.000600497555117097	0.00018707761382503565	0.0	0.00023502990102629724	0.0	0.0	0.0	0.0	0.0	0.00013737679019129717	0.0013123359580052493	0.00045798729848558865	0.0	0.0	0.0	0.0	0.0	0.00030246890241597036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000593657241056085	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006523544063574903	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetales_Incertae_Sedis;g__Candidatus_Ancillula;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014879623843109247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003908922114726864	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia_omnicolens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002861135138731785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011238480557428635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	0.0	0.0020968159461558374	0.0017949837481201184	0.0	0.0015703011757126752	0.0	0.0	0.0	0.03306901745370781	0.0043567143671034555	0.0	0.0	0.0	0.0	0.021308365955042576	0.07006300238974582	0.0023617996445608456	0.0022788415888589965	0.003763460893542497	0.0011305673870747226	0.0	0.014222941720629047	0.0	0.0	0.002968174572637828	0.0	0.0	0.006254343293954135	0.003419916944874196	0.004923813959677956	0.0	0.0007403213865784088	0.0	0.0007587696258682076	0.0	0.005720945015361797	0.01409952606635071	0.012532107051122711	0.03310069790628116	0.024546211490424647	0.013594632768361582	0.02775285418149191	0.0015059573902644285	0.00508695652173913	0.0	0.0	0.0	0.0	0.0014375105699306612	0.001018462904447288	0.00331685144805135	0.07357102433503113	0.03305369428925575	0.03905607198501479	0.024576423396994552	0.037332142734485006	0.07269200045646468	0.0	0.01709776413853573	0.01011026694652201	0.010058936869545506	0.006972057301595947	0.014141763611988064	0.05901924458391622	0.0	0.020648042941660463	0.018332919186062564	0.01477804241154696	0.007144388083160677	0.03274154697118387	0.017835497835497836	0.021133442594669198	0.0037851478010093725	0.0018816003010560481	0.02858030444237341	0.03492235375187655	0.0	0.0022739747510389713	0.08771828044323259	0.018924866394215655	0.00650535873075303	0.02255354314441154	0.043396141565858706	0.021095179087744144	0.01581013811961018	0.04804450438300742	0.008023106546854942	0.01578746542020414	0.010833435922688662	0.023480166127080676	0.02655835025777222	0.03345070422535211	0.033519007133782856	0.019880174291938998	0.04364844027991935	0.026291681934774644	0.017185682904768056	0.05296080066722268
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	0.001488095238095238	0.0	0.0	0.0018766828949873529	0.0	0.0022435344296245162	0.0	0.0007236255322013362	0.009767874545937805	0.0	0.0	0.0015690376569037657	0.0008740542459916419	0.0013710747456877489	0.0	0.0	0.0056589654849873725	0.0	0.0	0.0	0.0	0.0	0.00029052032189651666	0.0015037593984962407	0.0029132083768482384	0.0	0.001870346190492995	0.01745038993127944	0.002564937708655647	0.0	0.0013633707719275467	0.0	0.0012231046185119468	0.0	0.0	0.008616731998446163	0.0	0.00401855994697158	0.01655034895314058	0.019217318900915905	0.0064315980629539955	0.020946134092385757	0.0	0.009304347826086957	0.0018125743967103128	0.0	0.0027451316805353005	0.0	0.0	0.0015146371399472488	0.0	0.07776557142381571	0.04045484757576302	0.04983981933721968	0.02295994731485362	0.0352028024865199	0.07879721556544562	0.0009770395701025891	0.0049685810317112375	0.0	0.011334013374135782	0.006227644933456797	0.01907191973359858	0.0	0.003592814371257485	0.008776397758884143	0.02429663988514316	0.004505150793423054	0.011359577052225477	0.02025158354893389	0.013333333333333334	0.0	0.0	0.0	0.0	0.004134570423055152	0.0	0.0	0.0037129430875442364	0.006790317510216913	0.0	0.004338544177398251	0.008139587174528938	0.0019177435534312858	0.013987239711140714	0.005282085861991459	0.006326792591234183	0.014022703424592197	0.0	0.013080872494195362	0.026902046555225746	0.01607078367641748	0.0	0.0	0.006879373739769897	0.008031024795407352	0.0	0.03778148457047539
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00413899541670564	0.0	0.0	0.0	0.02490323678278253	0.0	0.00087156096568955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000782608695652174	0.0	0.0	0.0	0.0007015410518438838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis	0.045727926587301584	0.0	0.0	0.0	0.0031003382187147687	0.0	0.0	0.0	0.0	0.0009718824357384631	0.0	0.0	0.0	0.0005970809376382132	0.0	0.0	0.0	0.04003798069314765	0.0	0.0032339485723300206	0.0	0.0	0.0	0.0	0.0	0.0022914620718388237	0.0005646328122243004	0.0	0.0	0.03706168075054894	0.0009738362656625333	0.0008927404955798459	0.0008096608038036831	0.00029183447148777215	0.0011568049048527966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000757493777729683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003937007874015748	0.0	0.0	0.0	0.0	0.0	0.0028975478960342515	0.0	0.0	0.0009795086784468911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005258360793661922	0.0	0.0	0.0	0.0	0.0	0.0	0.00027085590465872155	0.0	0.0	0.0011267939746174831	0.0	0.0031657836929835895	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018511350823755113	0.006024630105431027	0.0	0.0	0.0	0.0	0.0	0.000262318899067759	0.0	0.008932747170517258	0.0	0.0	0.0	0.026476968227638127	0.00032762873882207833	0.00069724877255164	0.000412796697626419	0.0006595943494750728	0.0003571109722346219	0.0	0.0	0.004559889259832261	0.0	0.006135168473673959	0.0018290293080172452	0.0037899016348257506	0.0029475281620264986	0.0075481520041644976	0.0053324857859236505	0.012085308056872038	0.016281382053194134	0.00518444666001994	0.016186511240632806	0.010038337368845844	0.011045450326413167	0.0	0.0	0.0	0.0	0.0	0.0007015410518438838	0.0	0.0007050897030788917	0.0	0.006757881420819601	0.004670630714786139	0.004726642508271624	0.004160929174399809	0.01119620840059072	0.027958461714024878	0.0	0.016001753616834723	0.0	0.0	0.0	0.016260865804610128	0.0	0.0	0.0	0.00720616251138905	0.0	0.0	0.005352841466678562	0.006406926406926407	0.012076252911239541	0.0006308579668348954	0.0	0.0	0.0	0.0	0.0	0.024598247954980564	0.0	0.0	0.004304111287101439	0.0005846112335297027	0.0015636985897208946	0.0	0.012249943807597212	0.0	0.0	0.0	0.012819255044311455	0.0067489454772691766	0.004423979776092452	0.0	0.0	0.0	0.0	0.0	0.01884904086738949
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004850270357662529	0.0	0.0	0.0007212281485043102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013926254154138312	0.0	0.0	0.0	0.002466851680542707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00231042654028436	0.0026514209959400117	0.0	0.0	0.002370863599677159	0.0	0.0	0.0	0.0017314143490964181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0.005456349206349206	0.2696608853222884	0.007325474215301024	0.25033317920961734	0.186704783378966	0.0	0.0	0.0	0.013267475857180827	0.0	0.0	0.0	0.0	0.0011057054400707652	0.008030993986843699	0.003910493156636976	0.005729117949677298	0.0	0.05783060699780154	0.02968396697691539	0.019012377185147377	0.0014261486278137527	0.0015107056738618866	0.014772224679345422	0.05724729291485736	0.02562271225783412	0.02699650633447436	0.029881862404447533	0.0337106098851885	0.0018630647414997672	0.003051353632409271	0.002482254060880547	0.014401626212337853	0.028774878888694334	0.04129793510324484	0.005932831867782604	0.007582938388625593	0.005862126108211119	0.0	0.01122398001665279	0.005271388216303471	0.01534605983725751	0.0	0.0	0.0	0.0026248321328287143	0.0	0.0008652339639407899	0.0014656970516940075	0.0011751495051314862	0.037621694665397255	0.008006258530576916	0.006484991107837678	0.0028709976716909127	0.006525773813087469	0.006989044200982244	0.02208147894556659	0.048393991206643866	0.011325442057577085	0.01478109202707896	0.007820469228153689	0.0	0.0063140595943432945	0.05198684260274491	0.0029084687767322497	0.0054460682521647145	0.010988707584417019	0.0	0.012216903622204758	0.01061646890891248	0.019393939393939394	0.011817476063141551	0.003695025234318673	0.010301761648281864	0.009940975458216837	0.024856643614795854	0.0	0.014584803575629263	0.019725010152578756	0.017415906947500785	0.0	0.00998553818607534	0.03615595628906777	0.007198914262111288	0.007431816588375517	0.016183412002697236	0.03525582248303686	0.01197176380807021	0.008248184168410685	0.022270185421367605	0.022184033744727386	0.023429035752979416	0.0	0.03182384064737006	0.023010319060609654	0.01010748748015146	0.009109704096136451	0.03419516263552961
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pullorum	0.0	0.005022003624126327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003351318743925735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002692849449001574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__uncultured_bacterium	0.013733878968253968	0.0006212787988609888	0.001697957599573085	0.0	0.0	0.005374620941298291	0.0	0.0015818790703936187	0.0	0.0012064747478132646	0.0	0.0	0.0	0.00028748341441839896	0.0	0.0	0.0	0.0	0.00029809591235980176	0.0003155071777882947	0.003126196248564502	0.0	0.0	0.0	0.0	0.0	0.0	0.00038607057370087253	0.00012213989088836414	0.0	0.0	0.0	0.0	0.0	0.0	0.0003884592294381467	0.0	0.00024857071836937607	0.0	0.0005328892589508742	0.002723970944309927	0.0004331549147613007	0.0	0.0	0.0	0.0	0.0	0.0004910787362907187	0.0	0.0	0.0	0.0	0.0	0.0	0.0001197389690474765	0.0	0.0007988131918292822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002292316156244269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017791483809749734	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007062146892655367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-003;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020356648481394024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013293452974410104	0.0003996669442131557	0.0	0.0	0.00048722150861496213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.002433345587591e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009539273391516136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006248211389869312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005362109990281176	0.0	0.0	0.0	0.0	0.0	0.0	0.0021045739406977833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003450375482037751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
